No,county_name,county_fips,driver_race_Black,driver_race_White,black_pop,white_pop,pct_black_stopped,pct_white_stopped,wb_delta,bias
1,Adams County,28001,583,359,17757,12856,0.032832123,0.027924704,-0.004907418,black bias
2,Alcorn County,28003,468,2877,4281,31563,0.109320252,0.091151031,-0.018169221,black bias
3,Amite County,28005,1589,1331,5416,7395,0.293389956,0.179986477,-0.113403478,black bias
4,Attala County,28007,2096,2107,8194,10649,0.255796925,0.197858954,-0.057937971,black bias
5,Benton County,28009,121,93,3078,5166,0.039311241,0.018002323,-0.021308918,black bias
6,Bolivar County,28011,3162,1364,21648,11197,0.146064302,0.121818344,-0.024245957,black bias
7,Calhoun County,28013,726,932,3991,10103,0.181909296,0.092249827,-0.089659469,black bias
8,Carroll County,28015,1082,706,3470,6702,0.311815562,0.105341689,-0.206473873,black bias
9,Chickasaw County,28017,2394,1474,7549,9522,0.317128096,0.154799412,-0.162328685,black bias
10,Choctaw County,28019,248,365,2596,5661,0.095531587,0.064476241,-0.031055346,black bias
11,Claiborne County,28021,1079,308,7918,1271,0.136271786,0.242328875,0.106057089,white bias
12,Clarke County,28023,313,270,5731,10502,0.05461525,0.025709389,-0.028905862,black bias
13,Clay County,28025,724,257,11809,8213,0.061309171,0.031291854,-0.030017317,black bias
14,Coahoma County,28027,1706,885,19167,5710,0.089007148,0.154991243,0.065984096,white bias
15,Copiah County,28029,3479,2606,14833,13316,0.234544597,0.195704416,-0.038840181,black bias
16,Covington County,28031,1198,700,6982,12226,0.171584073,0.05725503,-0.114329043,black bias
17,DeSoto County,28033,553,650,40230,120452,0.013745961,0.00539634,-0.00834962,black bias
18,Forrest County,28035,1806,2629,27910,45641,0.06470799,0.057601718,-0.007106272,black bias
19,Franklin County,28037,1393,1114,2816,4997,0.494673295,0.22293376,-0.271739535,black bias
20,George County,28039,865,3913,1832,20627,0.472161572,0.189702817,-0.282458755,black bias
21,Greene County,28041,303,750,3647,10179,0.083081985,0.073681108,-0.009400877,black bias
22,Grenada County,28043,1211,1433,9417,11991,0.128597218,0.119506296,-0.009090921,black bias
23,Hancock County,28045,516,3274,4172,39686,0.123681687,0.082497606,-0.041184081,black bias
24,Harrison County,28047,1448,4646,45678,136231,0.031700162,0.034103838,0.002403676,white bias
25,Hinds County,28049,3296,1697,172869,67125,0.019066461,0.025281192,0.006214731,white bias
26,Holmes County,28051,2975,1341,15498,3105,0.191960253,0.431884058,0.239923805,white bias
27,Humphreys County,28053,1438,680,6774,2031,0.212282256,0.334810438,0.122528183,white bias
28,Issaquena County,28055,460,677,841,443,0.546967895,1.528216704,0.981248809,white bias
29,Itawamba County,28057,324,2156,1531,21508,0.211626388,0.100241771,-0.111384617,black bias
30,Jackson County,28059,1497,5262,30704,101686,0.048755862,0.051747537,0.002991674,white bias
31,Jasper County,28061,1095,913,8785,7674,0.12464428,0.118973156,-0.005671124,black bias
